site_id,feature1,feature2,feature3,feature4
1,0,1,0,1
2,0,0,1,0
3,0,0,0,1
4,0,0,1,0
5,1,0,1,0
6,1,1,0,0
7,0,0,0,1
8,0,0,0,0
9,1,0,0,1
10,1,0,0,0
11,1,0,1,1
12,1,1,0,0
13,0,0,1,0
14,1,0,0,1
15,1,1,0,1
16,1,0,1,1
17,1,0,0,1
18,1,1,1,1
19,1,1,1,0
20,1,0,0,1
21,1,1,1,1
22,0,1,0,0
23,1,0,1,0
24,0,0,1,1
25,0,1,1,0
26,1,0,0,0
27,0,0,1,0
28,1,1,1,1
29,0,0,0,1
30,1,1,0,1
31,0,1,0,1
32,0,1,1,1
33,0,0,1,0
34,0,1,0,0
35,1,0,0,0
36,1,0,0,0
37,1,1,0,0
38,0,0,1,1
39,0,1,1,0
40,0,1,1,1
41,0,0,0,0
42,0,1,0,0
43,1,1,0,0
44,1,1,0,1
45,1,0,0,0
46,1,1,1,0
47,1,0,1,0
48,1,1,0,0
49,0,1,0,0
50,0,0,0,0
51,1,1,0,0
52,0,1,0,0
53,1,0,0,0
54,0,0,1,1
55,1,1,0,1
56,1,1,0,0
57,0,0,1,1
58,1,1,0,0
59,0,0,0,0
60,0,0,0,1
61,0,1,0,0
62,0,0,1,0
63,0,1,0,0
64,0,0,0,1
65,0,0,1,1
66,0,1,1,1
67,1,1,1,0
68,1,1,1,0
69,1,1,1,0
70,1,0,1,1
71,0,0,0,1
72,0,1,0,0
73,1,1,1,1
74,0,1,1,0
75,1,1,1,0
76,0,1,1,0
77,0,1,1,0
78,1,0,0,0
79,1,1,1,0
80,0,1,0,0
81,0,0,0,0
82,0,0,0,1
83,1,0,0,1
84,0,0,0,1
85,0,0,0,0
86,0,1,0,1
87,0,0,1,1
88,0,1,1,1
89,1,1,0,1
90,0,0,1,0
91,0,0,1,0
92,1,1,0,1
93,1,0,0,0
94,0,0,0,1
95,1,0,0,0
96,1,1,1,0
97,1,0,1,0
98,1,1,1,1
99,1,0,0,1
100,1,0,1,1
101,1,0,1,1
102,0,1,0,1
103,0,1,1,1
104,0,1,0,1
105,1,0,0,0
106,0,1,1,1
107,1,1,0,1
108,0,0,0,0
109,0,0,0,1
110,1,1,1,0
111,1,1,0,0
112,1,1,0,0
113,1,0,0,0
114,1,0,0,0
115,1,1,0,0
116,1,0,1,1
117,1,1,0,0
118,1,1,1,1
119,1,1,1,0
120,1,1,1,0
121,0,1,0,1
122,0,1,1,1
123,0,1,0,0
124,1,0,1,0
125,1,0,1,1
126,0,0,1,1
127,1,1,1,0
128,1,0,1,0
129,0,1,0,1
130,0,1,1,0
131,0,0,1,1
132,1,1,1,1
133,0,0,1,1
134,0,0,0,1
135,0,0,0,0
136,1,1,0,1
137,1,0,0,0
138,1,0,0,0
139,0,0,1,1
140,0,1,0,0
141,1,1,1,1
142,0,0,0,0
143,1,1,0,1
144,0,0,1,0
145,1,0,1,0
146,0,0,1,0
147,0,0,1,1
148,1,0,1,0
149,1,0,0,0
150,1,0,0,0
151,0,1,0,0
152,0,0,1,0
153,1,1,1,1
154,1,1,1,0
155,1,1,1,1
156,1,0,0,1
157,1,0,0,1
158,1,1,1,0
159,1,0,0,1
160,0,0,0,0
161,1,1,0,1
162,1,0,1,0
163,0,1,1,0
164,1,0,1,0
165,0,0,1,1
166,0,0,0,1
167,1,0,0,1
168,1,1,1,0
169,1,1,1,0
170,1,0,1,1
171,0,1,0,1
172,0,0,0,1
173,0,0,0,1
174,1,0,0,0
175,0,0,1,0
176,0,1,1,0
177,1,1,1,0
